timestamp,BNBUSDT,BTCUSDT,ETHUSDT
2025-04-14 21:05:00,585.86,84714.0,1631.62
2025-04-14 21:10:00,586.99,84934.0,1635.25
2025-04-14 21:15:00,586.66,84890.59,1633.57
2025-04-14 21:20:00,586.08,84754.71,1630.35
2025-04-14 21:25:00,586.48,84776.0,1630.93
2025-04-14 21:30:00,586.38,84716.0,1628.91
2025-04-14 21:35:00,585.39,84577.05,1617.99
2025-04-14 21:40:00,585.5,84599.98,1618.76
2025-04-14 21:45:00,585.96,84617.28,1620.02
2025-04-14 21:50:00,586.4,84713.88,1624.68
2025-04-14 21:55:00,586.29,84706.1,1624.63
2025-04-14 22:00:00,585.72,84655.4,1623.12
2025-04-14 22:05:00,585.36,84643.65,1620.75
2025-04-14 22:10:00,585.52,84578.18,1619.71
2025-04-14 22:15:00,585.89,84562.01,1619.87
2025-04-14 22:20:00,585.8,84539.26,1618.29
2025-04-14 22:25:00,585.61,84493.51,1616.59
2025-04-14 22:30:00,586.22,84600.96,1620.01
2025-04-14 22:35:00,586.41,84684.0,1623.14
2025-04-14 22:40:00,586.14,84632.0,1622.8
2025-04-14 22:45:00,586.47,84548.27,1621.69
2025-04-14 22:50:00,585.86,84557.7,1622.19
2025-04-14 22:55:00,585.63,84500.01,1621.05
2025-04-14 23:00:00,585.4,84518.86,1622.62
2025-04-14 23:05:00,585.19,84520.0,1623.5
2025-04-14 23:10:00,585.36,84613.59,1626.73
2025-04-14 23:15:00,585.55,84671.43,1627.03
2025-04-14 23:20:00,585.55,84697.58,1626.7
2025-04-14 23:25:00,585.24,84653.05,1624.59
2025-04-14 23:30:00,585.15,84660.0,1624.91
2025-04-14 23:35:00,585.46,84685.69,1627.2
2025-04-14 23:40:00,584.4,84465.82,1619.09
2025-04-14 23:45:00,584.29,84540.0,1620.31
2025-04-14 23:50:00,584.29,84495.11,1621.24
2025-04-14 23:55:00,584.54,84591.58,1623.77
2025-04-15 00:00:00,583.9,84502.19,1623.16
2025-04-15 00:05:00,584.07,84568.65,1626.11
2025-04-15 00:10:00,583.21,84459.11,1618.29
2025-04-15 00:15:00,582.86,84377.99,1617.55
2025-04-15 00:20:00,583.94,84504.44,1621.87
2025-04-15 00:25:00,584.35,84601.5,1626.72
2025-04-15 00:30:00,584.75,84727.03,1628.71
2025-04-15 00:35:00,584.89,84837.44,1631.5
2025-04-15 00:40:00,585.13,84788.13,1630.91
2025-04-15 00:45:00,584.81,84779.0,1631.82
2025-04-15 00:50:00,585.08,84874.52,1632.0
2025-04-15 00:55:00,584.61,84930.7,1631.09
2025-04-15 01:00:00,584.11,84793.04,1626.79
2025-04-15 01:05:00,583.06,84601.21,1618.09
2025-04-15 01:10:00,583.25,84671.01,1620.29
2025-04-15 01:15:00,583.57,84759.28,1623.37
2025-04-15 01:20:00,584.47,84868.6,1628.78
2025-04-15 01:25:00,585.02,84923.22,1631.05
2025-04-15 01:30:00,585.31,85029.99,1633.76
2025-04-15 01:35:00,584.98,84896.22,1631.99
2025-04-15 01:40:00,585.29,85009.68,1632.2
2025-04-15 01:45:00,586.05,85058.0,1636.39
2025-04-15 01:50:00,585.99,85040.68,1635.04
2025-04-15 01:55:00,586.06,84983.73,1634.3
2025-04-15 02:00:00,586.43,85088.5,1634.38
